president;party
George Washington;none
John Adams;Federalist
Thomas Jefferson;Democratic-Republican
James Madison;Democratic-Republican
James Monroe;Democratic-Republican
John Quincy Adams;Democratic-Republican
Andrew Jackson;Democrat
Martin van Buren;Democrat
John Tyler;Whig
James Polk;Democrat
Zachary Taylor;Whig
Millard Fillmore;Whig
Franklin Pierce;Democrat
James Buchanan;Democrat
Abraham Lincoln;Republican
Andrew Johnson;National Union
Ulysses S. Grant;Republican
Rutherford B. Hayes;Republican
Chester A. Arthur;Republican
Grover Cleveland;Democrat
Benjamin Harrison;Republican
William McKinley;Republican
Theodore Roosevelt;Republican
William H. Taft;Republican
Woodrow Wilson;Democrat
Warren Harding;Republican
Calvin Coolidge;Republican
Herbert Hoover;Republican
Franklin D. Roosevelt;Democrat
Harry S. Truman;Democrat
Dwight D. Eisenhower;Republican
John F. Kennedy;Democrat
Lyndon B. Johnson;Democrat
Richard Nixon;Republican
Gerald R. Ford;Republican
Jimmy Carter;Democrat
Ronald Reagan;Republican
George H.W. Bush;Republican
William J. Clinton;Democrat
George W. Bush;Republican
