"";"President";"Party"
"1";"1. George Washington (1732-1799)";"None, Federalist"
"2";"2. John Adams (1735-1826)";"Federalist"
"3";"3. Thomas Jefferson (1743-1826)";"Democratic-Republican"
"4";"4. James Madison (1751-1836)";"Democratic-Republican"
"5";"5. James Monroe (1758-1831)";"Democratic-Republican"
"6";"6. John Quincy Adams (1767-1848)";"Democratic-Republican"
"7";"7. Andrew Jackson (1767-1845)";"Democrat"
"8";"8. Martin van Buren (1782-1862)";"Democrat"
"9";"9. William H. Harrison (1773-1841)";"Whig"
"10";"10. John Tyler (1790-1862)";"Whig"
"11";"11. James K. Polk (1795-1849)";"Democrat"
"12";"12. Zachary Taylor (1784-1850)";"Whig"
"13";"13. Millard Fillmore (1800-1874)";"Whig"
"14";"14. Franklin Pierce (1804-1869)";"Democrat"
"15";"15. James Buchanan (1791-1868)";"Democrat"
"16";"16. Abraham Lincoln (1809-1865)";"Republican"
"17";"17. Andrew Johnson (1808-1875)";"National Union"
"18";"18. Ulysses S. Grant (1822-1885)";"Republican"
"19";"19. Rutherford Hayes (1822-1893)";"Republican"
"20";"20. James Garfield (1831-1881)";"Republican"
"21";"21. Chester Arthur (1829-1886)";"Republican"
"22";"22. Grover Cleveland (1837-1908)";"Democrat"
"23";"23. Benjamin Harrison (1833-1901)";"Republican"
"24";"24. Grover Cleveland (1837-1908)";"Democrat"
"25";"25. William McKinley (1843-1901)";"Republican"
"26";"26. Theodore Roosevelt (1858-1919)";"Republican"
"27";"27. William Taft (1857-1930)";"Republican"
"28";"28. Woodrow Wilson (1856-1924)";"Democrat"
"29";"29. Warren Harding (1865-1923)";"Republican"
"30";"30. Calvin Coolidge (1872-1933)";"Republican"
"31";"31. Herbert C. Hoover (1874-1964)";"Republican"
"32";"32. Franklin Delano Roosevelt (1882-1945)";"Democrat"
"33";"33. Harry S Truman (1884-1972)";"Democrat"
"34";"34. Dwight David Eisenhower (1890-1969)";"Republican"
"35";"35. John Fitzgerald Kennedy (1917-1963)";"Democrat"
"36";"36. Lyndon Baines Johnson (1908-1973)";"Democrat"
"37";"37.  Richard Milhous Nixon (1913-1994)";"Republican"
"38";"38. Gerald R. Ford (1913- 2006)";"Republican"
"39";"39. James (Jimmy) Earl Carter, Jr. (1924- )";"Democrat"
"40";"40. Ronald Wilson Reagan (1911- 2004)";"Republican"
"41";"41. George H. W. Bush (1924- )";"Republican"
"42";"42. William (Bill) Jefferson Clinton (1946- )";"Democrat"
"43";"43. George W. Bush (1946- )";"Republican"
"44";"44. Barack Obama (1961- )";"Democrat"
"45";"45. Donald Trump (1946- )";"Republican"
